Rank,data name,Ticker,id,Key Person,USP / notes,Economic Purpose,,Issuer Industry,,Technological Setup,,Legal Claim,,Issuer Type,,Regulatory Status EU,,Mode of Origination,,Type of Maximum Supply,,Consensus Mechanism,,Tax,,Multi Chain (Y/N)
64,Augur,REP,augur,Nick,"Decentrelized prediction market that uses ""whistom of the crouds"", where users can create their own prediction markets.",EEP22TU02,Settlement and Access Token,EIN05MS,"Decentralized Data, Oracles and Infrastructure",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
65,Dent,DENT,dent,Albert,"Decentralized, blockchain-based mobile data providers",EEP22TU02,Settlement and Access Token,EIN05TC,Telecommunications and Communications,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,N
66,Orchid,OXT,orchid-protocol,Jan,Orchid offers a VPN Service powered by its own cryptocurrency OXT,EEP22TU02,Settlement and Access Token,EIN05DA02,"Cyber Security, Data Privacy, and Digital Identity",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
67,Injective Protocol,INJ,injective-protocol,Albert,Layer-2 DEX protocol focusing on derivative based DeFi products,EEP22TU03,Settlement and Governance Token,EIN06DF03,"Decentralized Derivatives, Synthetic Assets and Insurance",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
68,Wootrade,WOO,woo-network,Magda,Crypto exchange market.,EEP22TU03,Settlement and Governance Token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
69,Swipe,SXP,swipe,Marlene,Card Payment Infrastructure for Cryptocurrencies,EEP22TU03,Settlement and Governance Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
70,Unibright,UBT,unibright,Aavneet,Utility Token needed for all products and services offered by UNIBright.,EEP22TU03,Settlement and Governance Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,Y
71,Numeraire,NMR,numeraire,Albert,Platform to build machine learning models to predict the stock market.,EEP22TU02,Settlement and Access Token,EIN05DA01,"Artificial Intelligence (AI), Predictive Analytics, and Big Data",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
72,Small Love Potion,SLP,smooth-love-potion,Aavneet,ERC-20 token accessible on the blockchain-powered Axie Infinity platform earned as rewards by users through gameplay.,EEP22TU03,Settlement and Governance Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EM092,Reward,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
73,StormX,STMX,storm,Nick,StormX is a decentralised platform where online shoppers can earn crypto in shopping rewards.,EEP22TU02,Settlement and Access Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No Claim Token,LIT61PV,Private Sector legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
74,FUNToken,FUN,funfair,Albert,Decentralized platform for the creation and/or licensing of online casinos on the blockchain.,EEP22TU02,Settlement and Access Token,EIN08BG,Betting and Gambling,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM71PW,Proof of Work,RTA72,New Asset Token,N
75,SingularityNET,AGIX,singularitynet,Marlene,Global AI Marketplace.,EEP22TU02,Settlement and Access Token,EIN05DA01,"Artificial Intelligence (AI), Predictive Analytics, and Big Data",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS80,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
76,ZB Token,ZB,zb-token,Nick,Exchange token that is used for the Zero Bank exchange,EEP22TU03,Settlement and Governance Token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
77,Orbs,ORBS,orbs,Albert,Open blockchain to bring scalability to ethereum,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,Y
78,MCO,MCO,monaco,Magda,It is essentially a token for blockchain-based payment applications and trades under the symbol MCO.,EEP22TU02,Settlement and Access Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM71PW,Proof of Work,RTA72,New Asset Token,N
79,MVL,MVL,mass-vehicle-ledger,Aavneet,Mass Vehicle ledger addresses trust issues in the mobility industry and aims to provide with the help of blockchain and Ethereum's smart contracts. The MVL token is an ERC20 utility and reputation token on the Ethereum blockchain that has the aim to restore the trust in the mobility industry.,EEP22TU02,Settlement and Access Token,EIN05DA02,"Internet of Things (IoT), Smart Infrastructures, and Connectivity",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No Claim Token,LIT61PV,Private Sector legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
80,Aragon,ANT,aragon,Nick,Aragon is used to maintain and create decentralized autonomous organizations (DAOs) on the Ethereum blockchain,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM71PS,Proof of Work,RTA72,New Asset Token,N
81,Civic,CVC,civic,Magda,Civic is a blockchain-based identity management solution that gives individuals and businesses the tools they need to control and protect personal identity information,EEP22TU02,Settlement and Access Token,EIN05DA04,"Cyber Security, Data Privacy, and Digital Identity",TTS42ET01,Etereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM71PW,Proof of Work,RTA72,New Asset Token,N
82,Ultra,UOS,ultra,Marlene,Entertainment platform providing a variety of games industry services,EEP22TU01,Settlement Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ET01,Etereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
83,NuCypher,NU,nucypher,Nick,Cryptographic Infrastructure for Privacy-Preserving Applications,EEP22TU02,Settlement and Access Token,"
EIN05DA04","Cyber Security, Data Privacy, and Digital Identity",TTS42ET01,Etereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51,Utility Token,EMO91,Sale,EMS81,Fixed,TCM71PW,Proof Of Work,RTA72,New Asset Token,N
84,Metadium,META,metadium,Magda,"Metadium is a total identity management, convenient and secure device authentication via blockchain technology.",EEP22TU02,Settlement and Access token,EIN05DA04,"
Cyber Security, Data Privacy, and Digital Identity",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM71PW,Proof of Work,RTA72,New Asset Token,N
85,ZKSpace,ZKS,zkspace,Marlene,Layer-2 Token Swap Protocol based on ZK-Rollup,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
86,Ampleforth,AMPL,ampleforth,Aavneet,"Ampleforth operates a stablecoin called AMPL, and it adjusts the supply of AMPL managed by the software daily to maintain price parity with the U.S. dollar.",EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,Y
87,Enzyme,MLN,melon,Jan,"Enzyme offers decentralized on-chain asset management which allows to set up, manage and invest in customized on-chain investment vehicles.",EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS82IF,Inflationary,TCM71PW,Proof of Work,RTA72,New Asset Token,N
88,Balancer,BAL,balancer,Nick,Balancer is an AMM that allows liquidity pools with up to 8 tokens and weighted distribiution of them. This can result in less impermanent loss and more flexible liquidiy pools,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
89,Phala Network,PHA,pha,Albert,Decentralized cloud computing service by using excess capacity from everyday computer,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72ZZ,Other Hybrid,RTA72,New Asset Token,N
90,Hxro,HXRO,hxro,Magda,"Hxro is a cryptocurrency platform that offers perpetual, time-based digital derivatives markets",EEP22TU02,Settlement and Access token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM71PW,Proof of Work,RTA72,New Asset Token,N
91,PAX Gold,PAXG,pax-gold,Jan,Paxo gold is an asset backed token which resembles a claim on one troy fine ounce of gold,EEP21PP02,Asset-Pegged Payment Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Etereum ERC-20 Standard Token,LLC32,Relative Rights Token,LIT61PV,Private Sector Legal Entity,REU51ZZ,Other In-Scope Crypto Asset,EMO92,Sale,EMS82DC,Discretionary,TCM71PW,Proof of Work,RTA71,Conventional Asset Tokens,N
92,STASIS EURO,EURS,stasis-eurs,Magda,The EURS stablecoin combines the benefits of blockchain technology with the reputation and relative stability of the euro,EEP21PP01EUR,EUR-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Etereum ERC-20 Standard Token,LLC32,Relative Rights Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO92,Sale,EMS82DC,Discretionary,TCM71PW,Proof of Work,RTA71,Conventional Asset Tokens,Y
93,Chromia,CHR,chromaway,Aavneet,"Chromia is a blockchain platform, making it easy for people to build decentralized apps in the real world, for a better world.",EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
94,Strike,STRK,strike,Jan,"Strike is a decentrelized lending pool, allowing users to deposit liquidity in strike pools",EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93,Reward,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
95,HEX,HEX,hex,Albert,The first blockchain certificate of deposit,EEP21UP,Unpegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62DL,Distributed Ledger Protocol,REU51ZZ,Other In-Scope Crypto Asset,EMO93,Reward,EMS82IF,Inflationary,TCM72PS,Proof of Work,RTA72,New Asset Token,Y
96,botXcoin,BOTX,botxcoin,Magda,"Botxcoin aspire to bring Blockchain technology and products to the masses, advancing with trust",EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM71PW,Depends on the ledger,RTA72,New Asset Token,N
97,Fei USD,FEI,fei-usd,Marlene,DeFi native algorithmic stablecoin,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO92,Sale,EMS82DC,Discretionary,Depends on the ledger,Depends on the ledger,RTA71,Conventional Asset Tokens,Y
98,Wrapped BNB,WBNB,wbnb,Jan,The native token of the Binance cryptocurrency exchange.,EEP22TU01,Settlement Token,EIN06DF05,Other Decentralized Finance (DeFi),TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO94,Wrapping,EMS82DC,Discretionary,TCM71PW,Proof of Work,RTA72,New Asset Token,Y
99,Egoras,EGR,empty,Nick,Egoras is a micro-financing platforrm that offers non-colletorized credits to smaller firms.,EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EM81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
100,Huobi BTC,HBTC,huobi-btc,Magda,Bitcoin is an innovative payment network and a new kind of money.,EEP21UP,Unpegged Payment Token,EIN06DF05,Other Decentralized Finance (DeFi),TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51ZZ,Other In-Scope Crypto Asset,EMO94,Wrapping,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,Y
101,stETH (Lido),STETH,staked-ether,Marlene,Liquid staking solution for Ethereum,EEP23DV03,Other Derivative Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51ZZ,Other In-Scope Crypto Asset,EMO94,Wrapping,EMS82DC,Discretionary,TCM71PW,Proof of Work,RTA72,New Asset Token,N
102,Creditcoin,CTC,creditcoin-2,Aavneet,The Creditcoin Network is a public blockchain that creates a credit lending infrastructure allowing fintech lenders and microfinance providers greater access to capital while borrowers secure transactions on a groundbreaking immutable ledger with the Creditcoin token.,EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
103,The Transfer Token,TTT,empty,Jan,We provide the best rates for overseas remittance and foreign currency exchange.,EEP22TU02,Settlement and Access token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
104,INO COIN,INO,empty,Nick,INO Coin is a decentrelized crowdfunding platform for Crypto oriented fundings like ICOs with its INO token governing the system,EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
105,Liquity USD,LUSD,liquity-usd,Albert,USD-pegged stablecoin to pay out loan on Liquity protocol,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO92,Sale,EMS82DC,Discretionary,TCM72PS,Proof of Work,RTA71,Conventional Asset Tokens,N
106,ECOMI,OMI,ecomi,Aavneet,"ECOMI is a technology company based in Singapore which aims to lead the way in the emerging digital collectibles space, as well as protection of digital assets.",EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
107,Zelwin,ZLW,zelwin,Nick,"Zelwin is an online platform where, when buying something, you can earn Zelwin coins in reward and exchange them for other cryptocurrencies",EEP22TU01,Settlement Token,EIN04,"Manufacturing, Trade and Logistics",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93,Reward,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
108,yOUcash,YOUC,youcash,Albert,Digital currency that powers decentralized and tokenized advertising platform (YouEngine),EEP22TU02,Settlement and Access Token,EIN05MS,Media and Social Media,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,N
109,Venus BNB,vBNB,empty,Magda,The native token of the Binance cryptocurrency exchange.,EEP22TU01,Settlement Token,EIN06DF05,Other Decentralized Finance (DeFi),TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO94,Wrapping,EMS82DC,Discretionary,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
110,Nexus Mutual,NXM,nxm,Aavneet,Get covered against smart contract failure & exchange hacks.,EEP22TU03,Settlement and Governance Token,EIN06DF05,Other Decentralized Finance (DeFi),TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
111,HedgeTrade,HEDG,hedgetrade,Nick,HedgeTrade aims to be a platform where traders share their knowledge. Traders post predictions into a smart contract-powered Blueprint that users can purchase or unlock in order to access,EEP22TU02,Settlement and Access Token,EIN05DA01,"Artificial Intelligence (AI), Predictive Analytics, and Big Data",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
112,TitanSwap,TITAN,titanswap,Albert,DEX and more governed by a DAO,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,N
113,Orbit Chain,ORC,orbit-chain,Magda,The Orbit project is building the de facto standard of blockchain in the world.,EEP22TU02,Settlement and Access Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF03,other BFT,RTA72,New Asset Token,Y
114,"Perpetual Protocol (former ""strike"")",PERP,perpetual-protocol,Marlene,On-chain perpetual futures DEX,EEP22TU03,Settlement and Governance Token,EIN06DF03,"Decentralized Derivatives, Syntethic Assets and Insuarance",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
115,Bitpanda Ecosystem Token,BEST,bitpanda-ecosystem-token,Aavneet,"BEST is a pure trade token (also known as a no-rights token) and therefore does not convey any claims or rights - however structured - beyond ownership rights of BEST. In particular, BEST does not convey or represent any rights, claims or entitlements on whatever legal basis, contingent or actual, against Bitpanda, any of its subsidiaries, any other participant of the Bitpanda Ecosystem or any other third parties.",EEP22TU02,Settlement and Access Token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
116,sUSD,SUSD,nusd,Jan,sUSD is a synthetic USD token enabled by the Synthetix protocol. It tracks the price of the US Dollar through price feeds supplied by Chainlink’s decentralized network of oracles.,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO96,Other,EMS82DC,Discretionary,TCM72PS,Proof of Work,RTA71,Conventional Asset Tokens,N
117,Frax,FRAX,frax,Nick,Frax is the first decentrelized stablecoin that utilizes both asset backed and algorithmic stability.,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO96,Other,EMS82DC,Discretionary,TCM72PS,Proof of Work,RTA71,Conventional Asset Tokens,Y
118,Pundi X,PUNDIX,pundi-x-2,Albert,blockchain-based POS and P2P solution for retail,EEP22TU02,Settlement and Access Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM72PS,Proof of Work,RTA72,New Asset Token,N
119,KOK,KOK,kok,Magda,"‘KOK' is a decentralized digital content platform aimed to create a fair, open, and transparent ecosystem where creators receive equitable compensations and consumers can enjoy a diverse variety of contents.",EEP22TU03,Settlement and Governance Token,EIN05MS,Media and Social Media,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,N
120,Persistence,XPRT,persistence,Aavneet,Protocol powering Institutional Open Finance.,EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,Y
121,Doctors Coin,DRS,empty,Magda,MEDICAL BEAUTY INFLUENCERS BEYOND BORDERS,EEP22TU01,Settlement Token,EIN05MS,Media and Social Media,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
122,Tribe,TRIBE,tribe-2,Aavneet,"An Ethereum token that governs Fei Protocol, which issues a separate, decentralized stablecoin called FEI that attempts to maintain a value of US$1.00",EEP22TU03,Settlement and Governance Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
123,Dawn Protocol,DAWN,dawn-protocol,Magda,Dawn is the original Esports token,EEP22TU03,Settlement and Governance Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,N
124,Keep Network,KEEP,keep-network,Aavneet,"KEEP is an Ethereum token that powers the Keep Network, a platform that aims to bridge public blockchains and private data.",EEP22TU02,Settlement and Access Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
125,Alien Worlds,TLM,alien-worlds,Nick,"TLM is the native token of the Alien World, a game where players compete for Trilium (TLM), in a stimulated economy centered around planetary worlds. It runs on Ethereum, Binance Smart Chain and WAX.",EEP22TU03,Settlement and Governance Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
